item,term,candidate,prefixed,vocabulary,tier,fit,reason,definition,source,evidence,found_by
1,oht:Record,http://www.w3.org/ns/dcat#CatalogRecord,dcat:CatalogRecord,DCAT 3,1,exact,A record describing the registration of one resource in a catalogue is exactly what the library's record is; the named-graph mechanism is an implementation choice DCAT does not forbid.,"A record in a data catalog, describing the registration of a single dataset or data service.",https://www.w3.org/ns/dcat.ttl,verified at source,bm25+lead
1,oht:Record,http://xmlns.com/foaf/0.1/primaryTopic,foaf:primaryTopic,FOAF,2,exact,"DCAT-AP 3 makes foaf:primaryTopic mandatory on a catalogue record (along with dcterms:modified), so portals expect it.",The primary topic of some page or document.,http://xmlns.com/foaf/spec/index.rdf,verified at source,lead
1,oht:Record,http://www.w3.org/ns/prov#Entity,prov:Entity,PROV-O,1,super,True but too general to help consumers.,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.",https://www.w3.org/ns/prov.ttl,verified at source,lead
1,oht:Record,http://www.w3.org/ns/dcat#Dataset,dcat:Dataset,DCAT 3,1,related,"Describes the scheme itself, not the library's record about it.","A collection of data, published or curated by a single source, and available for access or download in one or more representations.",https://www.w3.org/ns/dcat.ttl,verified at source,lead
1,oht:Record,http://www.w3.org/ns/dcat#record,dcat:record,DCAT 3,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A record describing the registration of a single dataset or data service that is part of the catalog.,https://www.w3.org/ns/dcat.ttl,definition from source file,bm25+lead
1,oht:Record,http://www.w3.org/ns/dcat#Catalog,dcat:Catalog,DCAT 3,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A curated collection of metadata about resources.,https://www.w3.org/ns/dcat.ttl,definition from source file,bm25
1,oht:Record,http://www.w3.org/ns/dqv#QualityMetadata,dqv:QualityMetadata,DQV,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","Represents quality metadata, it is defined to group quality certificates, policies, measurements and annotations under a named graph.",https://www.w3.org/ns/dqv.ttl,definition from source file,bm25
1,oht:Record,http://www.w3.org/ns/dqv#hasQualityMetadata,dqv:hasQualityMetadata,DQV,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.","Refers to a grouping of quality information such as certificates, policies, measurements and annotations as a named graph. Quality information represented in such a grouping can pertain to any kind of resource (e.g., a dataset, a linkset, a graph, a set of triples). However, in the DQV context, this property is generally expected to be used in statements in which subjects are instances of dcat:Dataset or dcat:Distribution.",https://www.w3.org/ns/dqv.ttl,definition from source file,bm25
1,oht:Record,http://purl.org/skos-history/usingNamedGraph,sh:usingNamedGraph,skos-history,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The named graph where the data can be queried. (The endpoint should be given as void:sparqlEndpoint property of the version history set.),http://purl.org/skos-history/,definition from source file,bm25
1,oht:Record,http://www.w3.org/ns/odrl/2/spatial,odrl:spatial,ODRL,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A named and identified geospatial area with defined borders which is used for exercising the action of the Rule. An IRI MUST be used to represent this value.,https://www.w3.org/ns/odrl/2/ODRL22.ttl,definition from source file,bm25
1,oht:Record,https://schema.org/Library,schema:Library,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A library.,https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,bm25
1,oht:Record,https://w3id.org/dpv#UnknownApplicability,dpv:UnknownApplicability,DPV core,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Concept indicating information or context availability is unknown i.e. it is not known if the information exists or is applicable and therefore statements about its availability cannot be made (yet),https://w3id.org/dpv,definition from source file,bm25
1,oht:Record,http://www.w3.org/ns/dcat#resource,dcat:resource,DCAT 3,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A resource that is listed in the catalog.,https://www.w3.org/ns/dcat.ttl,definition from source file,bm25
1,oht:Record,https://w3id.org/dpv#ServiceRegistration,dpv:ServiceRegistration,DPV core,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",Purposes associated with registering users and collecting information required for providing a service,https://w3id.org/dpv,definition from source file,bm25
1,oht:Record,http://purl.org/spar/cito/citesAsMetadataDocument,cito:citesAsMetadataDocument,CiTO,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A relation according to which the citing entity cites the cited entity as being the container of metadata describing the citing entity.,http://purl.org/spar/cito,definition from source file,bm25
1,oht:Record,https://w3id.org/vair#Library,https://w3id.org/vair#Library,VAIR,3,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A collection of pre-written code,https://w3id.org/vair,definition from source file,bm25
1,oht:Record,https://schema.org/LibrarySystem,schema:LibrarySystem,schema.org,2,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",A [[LibrarySystem]] is a collaborative system amongst several libraries.,https://schema.org/version/latest/schemaorg-current-https.ttl,definition from source file,bm25
1,oht:Record,http://www.w3.org/2002/07/owl#NamedIndividual,owl:NamedIndividual,OWL 2,1,screened out,"Read in the shortlist; word overlap only, not a fit for the coined meaning.",The class of named individuals.,https://www.w3.org/2002/07/owl.ttl,definition from source file,bm25
2,oht:Version,http://www.w3.org/ns/dcat#hasVersion,dcat:hasVersion,DCAT 3,1,exact,"Links the stable, version-independent scheme to each release, which is the oht:Version pattern.","This resource has a more specific, versioned resource [PAV].",https://www.w3.org/ns/dcat.ttl,verified at source,lead
2,oht:Version,http://www.w3.org/ns/dcat#version,dcat:version,DCAT 3,1,exact,"The release label (""2023""); DCAT-AP 3 names it on dcat:Dataset.",The version indicator (name or identifier) of a resource.,https://www.w3.org/ns/dcat.ttl,verified at source,lead
2,oht:Version,http://www.w3.org/ns/dcat#previousVersion,dcat:previousVersion,DCAT 3,1,exact,Version chain.,The previous version of a resource in a lineage [PAV].,https://www.w3.org/ns/dcat.ttl,verified at source,bm25+lead
2,oht:Version,http://www.w3.org/ns/dcat#hasCurrentVersion,dcat:hasCurrentVersion,DCAT 3,1,exact,Points at the latest release.,"This resource has a more specific, versioned resource with equivalent content [PAV].",https://www.w3.org/ns/dcat.ttl,verified at source,lead
2,oht:Version,http://www.w3.org/ns/dcat#isVersionOf,dcat:isVersionOf,DCAT 3,1,related,Removed from the DCAT 3 vocabulary specification; only listed as an informative inverse. Use dcterms:isVersionOf if a back link is stored.,"properties dcat:isVersionOf, dcat:next, and dcterms:isReplacedBy have been removed from 6. Vocabulary specification [it survives only in the informative table of inverses and in section 11 prose]","https://www.w3.org/TR/vocab-dcat-3/ (Appendix, changes since the second public working draft)",verified at source (specification text),lead
2,oht:Version,http://purl.org/dc/terms/isVersionOf,dcterms:isVersionOf,DCMI Terms,1,super,The standard back link from a version to the work.,"A related resource of which the described resource is a version, edition, or adaptation.",https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,verified at source,bm25
2,oht:Version,http://www.w3.org/ns/adms#versionNotes,adms:versionNotes,ADMS,2,related,"Change notes between versions; useful alongside, SEMIC ADMS 2.0.",A description of changes between this version and the previous version of the Asset.,https://www.w3.org/ns/adms.ttl,verified at source,bm25+lead
2,oht:Version,http://purl.org/pav/version,pav:version,PAV,2,related,"Same idea as dcat:version, tier 2; prefer DCAT.","The version number of a resource. This is a freetext string, typical values are ""1.5"" or ""21"". The URI identifying the previous version can be provided using prov:previousVersion. This property is normally used in a functional way, although PAV does not formally restrict this.",http://purl.org/pav/,verified at source,bm25+lead
